"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat","IdleSelection","IdleAnimStart","IdleAnimEnd","IdleAnimType","TapAnimStart","TapAnimEnd","TapEffect","PreviewStart","PreviewEnd","AttackLabel"
"Halloween2023_scarecrow","TID_DECO_SCARECROW",,"sc/buildings.sc","deco_scarecrow","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,"Tap_Halloween23_scarecrow_deco",,,,,"TRUE",,,,,,,,,,
"Halloween2023_completion_cauldron","TID_BUILDING_CLASHOWEEN_BUILDING",,"sc/buildings.sc","deco_sour_elixir_cauldron_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"World Finals23 Statue","TID_WORLD_FINALS_23_STATUE",,"sc/buildings.sc","world_finals_23_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,,,,,
"Fountain Rework","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_fountain_rework","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Bath","TID_DECO_DUCK_POND",,"sc/buildings.sc","deco_homevillage_bath","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Box2","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_box2","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Beet","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_beet","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,
"Carrot","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_carrot","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,
"Corn","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_corn","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,
"Fertilizer","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_fertilizer","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Hog Park","TID_DECO_HOG_PEN",,"sc/buildings.sc","deco_homevillage_hog","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,
"Straw","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_straw02","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Tomato","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_tomato","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,
"WheelbarrowRock","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_wheelbarrowrock","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"WoodPile","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_woodpile","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashClam","TID_DECO_COZY_CLAM","TID_DECO_COZY_CLAM_INFO","sc/buildings.sc","deco_clash_of_clam","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE",,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,,,,,
"ClashMas2023_dough_building","TID_DECO_GINGERBREAD_BUILDING",,"sc/buildings.sc","clashmas_gingerbread_building",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashMas2023_jinglebell","TID_DECO_JINGLEBELL",,"sc/buildings.sc","deco_jinglebell",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashMas2023_hogmaster","TID_DECO_HOGMASTER",,"sc/buildings.sc","deco_christmas_hogmaster",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashMas2023_sock","TID_DECO_SOCK",,"sc/buildings.sc","deco_ginger_sock",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"CNY_2023_anchor","TID_DECO_LNY24_ANCHOR",,"sc/buildings.sc","deco_cny_2023_anchor",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"CNY_2023_Crab","TID_DECO_LNY24_CRAB",,"sc/buildings.sc","deco_cny_2023_Crab",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"CNY_2023_dragon","TID_DECO_LNY24_BABY_DRAGON",,"sc/buildings.sc","deco_cny_2023_dragon",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"LNY_2024_dragonpinata","TID_DECO_LNY24_DRAGON_PINATA",,"sc/buildings.sc","deo_lny24_pinata",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Space_2024_crater","TID_DECO_SPACE_2024_CRATER",,"sc/buildings.sc","deco_space_crater_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Space_2024_globe","TID_DECO_SPACE_2024_GLOBE",,"sc/buildings.sc","deco_globe_space_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Space_2024_goblin_statue","TID_DECO_SPACE_2024_GOBLIN_STATUE",,"sc/buildings.sc","deco_goblin_space_statue_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Egypt_2024_babydragon","TID_DECO_EGYPT_2024_BABYDRAGON",,"sc/buildings.sc","deco_egypt_babydragon_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Egypt_2024_goblin","TID_DECO_EGYPT_2024_GOBLIN",,"sc/buildings.sc","deco_egypt_goblin_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Egypt_2024_hog","TID_DECO_EGYPT_2024_HOG",,"sc/buildings.sc","deco_egypt_hog_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"CW_gift_crownsword","TID_DECO_GIFT_2024_CROWNSWORD",,"sc/buildings.sc","deco_cw_crownsword",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Game Campaign","TID_DECO_GAME_CAMPAIGN",,"sc/buildings.sc","deco_squad_chest_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_goldenboot","TID_DECO_CLASHBALL_GOLDENBOOT",,"sc/buildings.sc","deco_clashball_goldenboot_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_trophyball","TID_DECO_CLASHBALL_TROPHYBALL",,"sc/buildings.sc","deco_clashball_trophyball_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_statuecharacter","TID_DECO_CLASHBALL_STATUECHARACTER",,"sc/buildings.sc","deco_clashball_statuehaaland_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_trophycrown","TID_DECO_CLASHBALL_TROPHYCROWN",,"sc/buildings.sc","deco_clashball_trophycrown_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_trophycup","TID_DECO_CLASHBALL_TROPHYCUP",,"sc/buildings.sc","deco_clashball_trophycup_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"clashball_trophybeverage","TID_DECO_CLASHBALL_TROPHYBEVERAGE",,"sc/buildings.sc","deco_clashball_trophymilk_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"WildWest_cactus","TID_DECO_WILDWEST_CACTUS",,"sc/buildings.sc","deco_wildwest_cactus_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"WildWest_skelly","TID_DECO_WILDWEST_SKELLY",,"sc/buildings.sc","deco_wildwest_skelly_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"WildWest_totem","TID_DECO_WILDWEST_TOTEM",,"sc/buildings.sc","deco_wildwest_totem_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Clashball2024_completion_deco_goal","TID_DECO_CLASHBALL_GOAL",,"sc/buildings.sc","event_football_building_deco_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Anime_FORTUNE_TELLER","TID_DECO_ANIME_FORTUNETELLER",,"sc/buildings.sc","deco_anime_01",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Random","idle_start","idle_end","PlayOnce","tap_start","tap_end","Deco Anime FortuneTeller Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start2","idle_end2","PlayOnce",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start3","idle_end3","PlayOnce",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start4","idle_end4","PlayOnce",,,,,,
"Unused","TID_DECORATION_TORCH",,"sc/buildings.sc","env_large_stone_b",,"Diamonds",500,,0,2,2,1,,,"large_stone_b_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Anime_bonsaitree","TID_DECO_ANIME_BONSAI_TREE",,"sc/buildings.sc","deco_anime_bonsaitree_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Anime_chibi_archer","TID_DECO_ANIME_CHIBI_ARCHER",,"sc/buildings.sc","deco_anime_chibiarcher_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Anime_giant_school_girl","TID_DECO_ANIME_GIANT_SCHOOL_GIRL",,"sc/buildings.sc","deco_anime_giantschool_3x3",,"Diamonds",500,,1,3,3,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","tape_end_01","tape_end_01","PlayOnce","tap_start_01","tape_end_01","Deco Anime Giant Schoolgirl Tap","tap_start_01","tap_end_05","tap_start_01"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_02","tap_end_02","PlayOnce","tap_start_02","tap_end_02","Deco Anime Giant Schoolgirl Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_03","tap_end_03","PlayOnce","tap_start_03","tap_end_03","Deco Anime Giant Schoolgirl Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_04","tap_end_04","PlayOnce","tap_start_04","tap_end_04","Deco Anime Giant Schoolgirl Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_05","tap_end_05","PlayOnce","tap_start_05","tap_end_05","Deco Anime Giant Schoolgirl Tap",,,
"SC_Store_beachparasol","TID_DECO_SC_BEACH_PARASOL",,"sc/buildings.sc","deco_mashup_beachparasol_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"SC_Store_brawlstars","TID_DECO_SC_BRAWLSTARS",,"sc/buildings.sc","deco_mashup_brawlstars_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"SC_Store_gauntlet","TID_DECO_SC_GAUNTLET",,"sc/buildings.sc","deco_mashup_gauntlet_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"SC_Store_haybalechicken","TID_DECO_SC_HAYDAY_CHICKEN",,"sc/buildings.sc","deco_mashup_haybalechicken_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"SC_Store_royalebed","TID_DECO_SC_ROYALE_BED",,"sc/buildings.sc","mashup_deco_royalebed_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashGames_firebowl","TID_DECO_CLASHGAMES_FIREBOWL",,"sc/buildings.sc","deco_clashgames_firebowl_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"ClashGames_goblindive","TID_DECO_CLASHGAMES_GOBLINDIVE",,"sc/buildings.sc","superdeco_clashgames_goblindive_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","tap_end_01","tap_end_01","PlayOnce","tap_start_01","tap_end_01","Deco Clashgames GoblinDive Tap","tap_start_01","tap_end_01",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_02","tap_end_02","PlayOnce","tap_start_02","tap_end_02","Deco Clashgames GoblinDive Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_03","tap_end_03","PlayOnce","tap_start_03","tap_end_03","Deco Clashgames GoblinDive Tap",,,
"ClashGames_archerfoot","TID_DECO_CLASHGAMES_ARCHERFOOT",,"sc/buildings.sc","deco_clashgames_archerfoot_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"TTRPG_treeportal","TID_DECO_TTRPG_TREEPORTAL",,"sc/buildings.sc","deco_ttrpg_treeportal_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"TTRPG_superdeco_d20","TID_DECO_TTRPG_SUPERDECO_D20",,"sc/buildings.sc","ttrpg_superdeco_d20_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","tap_end_01","tap_end_01","PlayOnce","tap_start_01","tap_end_01","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_02","tap_end_02","PlayOnce","tap_start_02","tap_end_02","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_03","tap_end_03","PlayOnce","tap_start_03","tap_end_03","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_04","tap_end_04","PlayOnce","tap_start_04","tap_end_04","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_05","tap_end_05","PlayOnce","tap_start_05","tap_end_05","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_06","tap_end_06","PlayOnce","tap_start_06","tap_end_06","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_07","tap_end_07","PlayOnce","tap_start_07","tap_end_07","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_08","tap_end_08","PlayOnce","tap_start_08","tap_end_08","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_09","tap_end_09","PlayOnce","tap_start_09","tap_end_09","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_10","tap_end_10","PlayOnce","tap_start_10","tap_end_10","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_11","tap_end_11","PlayOnce","tap_start_11","tap_end_11","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_12","tap_end_12","PlayOnce","tap_start_12","tap_end_12","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_13","tap_end_13","PlayOnce","tap_start_13","tap_end_13","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_14","tap_end_14","PlayOnce","tap_start_14","tap_end_14","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_15","tap_end_15","PlayOnce","tap_start_15","tap_end_15","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_16","tap_end_16","PlayOnce","tap_start_16","tap_end_16","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_17","tap_end_17","PlayOnce","tap_start_17","tap_end_17","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_18","tap_end_18","PlayOnce","tap_start_18","tap_end_18","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_19","tap_end_19","PlayOnce","tap_start_19","tap_end_19","Deco TTRPG D20 Tap",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tap_end_20","tap_end_20","PlayOnce","tap_start_20","tap_end_20","Deco TTRPG D20 Tap Nat20",,,
"TTRPG_mimic_chest","TID_DECO_TTRPG_MIMIC_CHEST",,"sc/buildings.sc","deco_ttrpg_mimic_chest_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Clashoween2024_completion_deco","TID_DECO_CLASHOWEEN_2024",,"sc/buildings.sc","deco_clashween_2024",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Clashoween2024_prisonbox","TID_DECO_CLASHOWEEN_2024_PRISONBOX",,"sc/buildings.sc","clashoween_deco_prisonbox_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Clashoween2024_superdeco_cauldron","TID_DECO_CLASHOWEEN_2024_SUPERDECO_CAULDRON",,"sc/buildings.sc","clashoween_superdeco_cauldron_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_01","tap_start_02","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_02","tap_start_03","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_03","tap_start_04","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_04","tap_start_05","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_05","tap_start_06","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","tap_start_06","tap_end_06","Deco Clashoween24 Cauldron Drop",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauldron_idle","Cauldron_idle_end","PlayOnce","react_vomit","react_vomit_end","Deco Clashoween24 Cauldron Vomit",,,
"Superdeco_mochapot","TID_DECO_SUPERDECO_MOCHAPOT",,"sc/buildings.sc","superdeco_mochapot_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","Mochapot_idle","Mochapot_idle_end","PlayOnce","tap_start_01","tap_end_01","Deco Clashoween24 CoffeePot",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mochapot_idle","Mochapot_idle_end","PlayOnce","tap_start_02","tap_end_02","Deco Clashoween24 CoffeePot",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mochapot_idle","Mochapot_idle_end","PlayOnce","tap_start_03","tap_end_03","Deco Clashoween24 CoffeePot",,,
"Diwali_Statue_Event_Deco_2x2","TID_DECO_DIWALI_2024",,"sc/buildings.sc","Diwali_Statue_Event_Deco_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Clashmas_2024_completion_deco","TID_DECO_CLASHMAS_2024",,"sc/buildings.sc","clashmas_2024_event building_deco",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","idle_start","idle_end","PlayOnce","tap_start","tap_end","Deco Clashmas24 Tap RockinReindeer",,,
"Clashmas_2024_choir","TID_DECO_CLASHMAS_2024_CHOIR",,"sc/buildings.sc","clashmas24_deco_choir_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","idle_start","idle_end","Loop","click_start","click_end","Deco Clashmas24 Tap Choir",,,
"Clashmas2024_superdeco_globe","TID_DECO_CLASHMAS_2024_SUPERDECO_GLOBE",,"sc/buildings.sc","clashmas24_superdeco_snowglobe_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","idle_start","idle_end","Loop","click_start","click_end","Deco Clashmas24 Tap SnowGlobe",,,
"Clashmas_2024_Sack","TID_DECO_CLASHMAS_2024_SACK",,"sc/buildings.sc","clashmas24_sack_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Lny_2025_completion_deco","TID_DECO_LNY_2025",,"sc/buildings.sc","lny25_event_building_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Lny_2025_monkstatue_deco","TID_DECO_LNY_2025_MONK",,"sc/buildings.sc","lny25_deco_monkstatue_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,
"Fire_Ice_superdeco_sauna","TID_DECO_FIRE_ICE_SAUNA",,"sc/buildings.sc","fireandice_superdeco_goblinsauna_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","idle_start","idle_end","Loop","tap_start","tap_end","Deco Fire Ice Tap Sauna",,,
"Lny_2025_superdeco_fortunecookie","TID_DECO_LNY_2025_COOKIE",,"sc/buildings.sc","lny25_superdeco_fortunecookie_3x3",,"Diamonds",500,,1,3,3,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","Tap","idle_start","idle_end","PlayOnce","message_01_start","message_01_end","Deco LNY25 Tap Cookies",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start","idle_end","PlayOnce","message_02_start","message_02_end","Deco LNY25 Tap Cookies",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start","idle_end","PlayOnce","message_03_start","message_03_end","Deco LNY25 Tap Cookies",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start","idle_end","PlayOnce","message_04_start","message_04_end","Deco LNY25 Tap Cookies",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"idle_start","idle_end","PlayOnce","message_05_start","message_05_end","Deco LNY25 Tap Cookies",,,
