"Name","Character","IsDefaultSkin","EnabledByCalendar","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","SWF","SWFTextureExportName","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","AbilityEffect","AbilityActivationEffect","AbilityHitEffect","SkinChangeEffect","ParticleEffect3D","AbilityEffect3D","GunBone","ShadowBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation","Environment","EnvironmentMenu","EnvironmentWardrobe","MakeCreator","ShadowScale","Tier","ThemeIcon","ThemeTID","ThemeYear","FeatureCustomModel","FeatureCustomTextures","FeatureCustomAnimations","FeatureCustomEffects","FeatureCustomSounds","FeatureCustomVoiceovers","FeatureCustomUnits","FeatureExtraAnimations","FeatureExtraEffects","FeatureExtraSounds","ShadowSWF","ShadowExportName","ShadowAlpha","OutlineSize","PortraitCameraPosition","PortraitCameraLookAt","PortraitCameraFov","PortraitCameraDefaultModelRotation","PortraitCameraArmyScreenFovAdd","PortraitCameraArmyScreenAltitudeChange","PortraitCameraInfoScreenFovAdd","PortraitCameraInfoScreenAltitudeChange","UseMenuPoseInPortrait","BloomStrength","BloomThreshold"
"WarriorPrincessDefault","Warrior Princess","TRUE","FALSE","TID_HERO_ROYAL_CHAMPION","image/skin_icons/rc_original.sctx","sc3d/royalchampion_default_geo.glb","sc3d/royalchampion_default_a.sctx","sc3d/royalchampion_default_n.sctx","sc3d/royalchampion_default_m.sctx",,,,"WarriorPrincessDefaultSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,10,-400,19,-100,"FALSE",20,100
"WinterChampion","Warrior Princess","FALSE","FALSE","TID_WINTER_CHAMPION","image/skin_icons/rc_winter_dl_opt.sctx","sc3d/royalchampion_winter_geo_dl_opt.glb","sc3d/royalchampion_winter_01_dl_opt.sctx","sc3d/royalchampion_winter_01_normal_dl_opt.sctx","sc3d/royalchampion_winter_01_material_dl_opt.sctx",,,,"WarriorPrincessWinterSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_gunbone_01_s","hips_s","RoyalChampionWinter spear",,"AmazonQueen_shield_winter",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-200,"FALSE",20,100
"RogueChampion","Warrior Princess","FALSE","FALSE","TID_ROGUE_CHAMPION","image/skin_icons/rc_rogue_dl_opt.sctx","sc3d/royalchampion_rogue_geo_dl_opt.glb","sc3d/royalchampion_rogue_01_dl_opt.sctx","sc3d/royalchampion_rogue_01_normal_dl_opt.sctx","sc3d/royalchampion_rogue_01_material_dl_opt.sctx",,,,"WarriorPrincessRogueSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionRogue spear",,"AmazonQueen_shield_rogue",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"JungleChampion","Warrior Princess","FALSE","FALSE","TID_JUNGLE_CHAMPION","image/skin_icons/rc_jungle_dl_opt.sctx","sc3d/royalchampion_jungle_geo_dl_opt.glb","sc3d/royalchampion_jungle_01_dl_opt.sctx","sc3d/royalchampion_jungle_01_normal_dl_opt.sctx","sc3d/royalchampion_jungle_01_material_dl_opt.sctx",,,,"WarriorPrincessJungleSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionJungle spear",,"RoyalChampionJungle shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"BASIC",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"GladiatorChampion","Warrior Princess","FALSE","FALSE","TID_GLADIATOR_CHAMPION","image/skin_icons/rc_champion_dl_opt.sctx","sc3d/royalchampion_electro_geo_dl_opt.glb","sc3d/royalchampion_electro_a_dl_opt.sctx","sc3d/royalchampion_electro_n_dl_opt.sctx","sc3d/royalchampion_electro_m_dl_opt.sctx","sc3d/royalchampion_electro_e_dl_opt.sctx",,,"WarriorPrincessElectroSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionGladiator spear",,"RoyalChampionGladiator shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,24,100,"FALSE",20,100
"ShadowChampion","Warrior Princess","FALSE","FALSE","TID_SHADOW_CHAMPION","image/skin_icons/rc_dark_dl_opt.sctx","sc3d/royalchampion_dark_geo_dl_opt.glb","sc3d/royalchampion_dark_a_dl_opt.sctx","sc3d/royalchampion_dark_n_dl_opt.sctx","sc3d/royalchampion_dark_m_dl_opt.sctx","sc3d/royalchampion_dark_e_dl_opt.sctx",,,"WarriorPrincessDarkSkin",,10000,225,225,,,"Royal Champion Deploy","DRC Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionDark spear",,"RoyalChampionDark shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"PrimalChampion","Warrior Princess","FALSE","FALSE","TID_PRIMAL_CHAMPION","image/skin_icons/rc_primal_dl_opt.sctx","sc3d/royalchampion_prc_geo_dl_opt.glb","sc3d/royalchampion_prc_a_dl_opt.sctx","sc3d/royalchampion_prc_n_dl_opt.sctx","sc3d/royalchampion_prc_m_dl_opt.sctx","sc3d/royalchampion_prc_e_dl_opt.sctx",,,"WarriorPrincessPRCSkin",,10000,225,225,,,"Primal Champion Deploy","Primal Champion Attack",,,,,"Primal Champion Die","Primal Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionPrimal spear",,"RoyalChampionPrimal shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"SummerChampion","Warrior Princess","FALSE","FALSE","TID_SUMMER_CHAMPION","image/skin_icons/rc_summer_dl_opt.sctx","sc3d/royalchampion_summer_geo_dl_opt.glb","sc3d/royalchampion_summer_a_dl_opt.sctx","sc3d/royalchampion_summer_n_dl_opt.sctx","sc3d/royalchampion_summer_m_dl_opt.sctx",,,,"WarriorPrincessSummerSkin",,10000,225,225,,,"Summer Champion Deploy","Summer Champion Attack",,,,,"Summer Champion Die","Summer Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionSummer spear",,"RoyalChampionSummer shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"BASIC",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-100;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"PixelChampion","Warrior Princess","FALSE","FALSE","TID_PIXEL_CHAMPION","image/skin_icons/rc_pixel_dl_opt.sctx","sc3d/royalchampion_pixel_geo_dl_opt.glb","sc3d/royalchampion_pixel_a_dl_opt.sctx",,"sc3d/royalchampion_pixel_m_dl_opt.sctx","sc3d/royalchampion_pixel_a_dl_opt.sctx",,,"WarriorPrincessPixelSkin",,10000,225,225,,,"Pixel Champion Spawn Effect","Pixel Champion Attack",,,,,"Pixel Champion Die","Pixel Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionPixel spear",,"RoyalChampionPixel shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4800","0;1600;0",30,55,7,-200,15,150,"FALSE",20,100
"PartyChampion","Warrior Princess","FALSE","FALSE","TID_PARTY_CHAMPION","image/skin_icons/rc_party_dl_opt.sctx","sc3d/royalchampion_party_geo_dl_opt.glb","sc3d/royalchampion_party_a_dl_opt.sctx","sc3d/royalchampion_party_n_dl_opt.sctx","sc3d/royalchampion_party_m_dl_opt.sctx",,,,"WarriorPrincessPartySkin",,10000,225,225,,,"Party Champion Deploy","Party Champion Attack",,,,,"Party Champion Die","Party Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionParty spear",,"RoyalChampionParty shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD","image/theme_icons/party_icon_dl_opt.sctx","TID_SKIN_THEME_ANNIVERSARY",2022,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-200;1400;0",30,55,7,-200,15,-50,"FALSE",20,100
"TH15Champion","Warrior Princess","FALSE","FALSE","TID_TH15_CHAMPION","image/skin_icons/rc_magic_dl_opt.sctx","sc3d/royalchampion_th15_geo_dl_opt.glb","sc3d/royalchampion_th15_a_dl_opt.sctx","sc3d/royalchampion_th15_n_dl_opt.sctx","sc3d/royalchampion_th15_m_dl_opt.sctx","sc3d/royalchampion_th15_e_dl_opt.sctx",,,"WarriorPrincessTH15Skin",,10000,225,225,,,"Th15 RC Deploy",,,,,,"Party Champion Die","Party Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionTH15 spear",,"RoyalChampionTh15 shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"PirateChampion","Warrior Princess","FALSE","FALSE","TID_PIRATE_CHAMPION","image/skin_icons/rc_pirate_dl_opt.sctx","sc3d/royalchampion_pirate_geo_dl_opt.glb","sc3d/royalchampion_pirate_a_dl_opt.sctx","sc3d/royalchampion_pirate_n_dl_opt.sctx","sc3d/royalchampion_pirate_m_dl_opt.sctx",,,,"WarriorPrincessPirateSkin",,10000,225,225,,,"Royal Champion Deploy",,,,,,"Royal Champion Die",,,,,,,,"L_weapon_01_s","hips_s","RoyalChampionPirate spear",,"RoyalChampionPirate shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,22,0,"FALSE",20,100
"JollyChampion","Warrior Princess","FALSE","FALSE","TID_JOLLY_CHAMPION","image/skin_icons/rc_jolly_dl_opt.sctx","sc3d/royalchampion_jolly_geo_dl_opt.glb","sc3d/royalchampion_jolly_a_dl_opt.sctx","sc3d/royalchampion_jolly_n_dl_opt.sctx","sc3d/royalchampion_jolly_m_dl_opt.sctx",,,,"WarriorPrincessJollySkin",,10000,225,225,,,"JollyChampion_Deploy_SFX",,,,,,"Royal Champion Die",,,,,,,,"L_weapon_01_s","hips_s","RoyalChampionJolly spear",,"RoyalChampionJolly shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"WarriorChampion","Warrior Princess","FALSE","FALSE","TID_WARRIOR_CHAMPION","image/skin_icons/rc_warrior_dl_opt.sctx","sc3d/royalchampion_lunar_geo_dl_opt.glb","sc3d/royalchampion_lunar_a_dl_opt.sctx","sc3d/royalchampion_lunar_n_dl_opt.sctx","sc3d/royalchampion_lunar_m_dl_opt.sctx",,,,"WarriorPrincessLunarSkin",,10000,225,225,,,"Royal Champion Deploy","RoyalChampion_Lunar23_Atk_SFX",,,,,"Royal Champion Die","RoyalChampion_Lunar23_Ability_SFX",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionLunar spear",,"RoyalChampionLunar shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,7,-200,15,-100,"FALSE",20,100
"PainterChampion","Warrior Princess","FALSE","FALSE","TID_PAINTER_CHAMPION","image/skin_icons/rc_colorfest_dl_opt.sctx","sc3d/royalchampion_painter_geo_dl_opt.glb","sc3d/royalchampion_painter_a_dl_opt.sctx","sc3d/royalchampion_painter_n_dl_opt.sctx","sc3d/royalchampion_painter_m_dl_opt.sctx",,,,"WarriorPrincessPainterSkin",,10000,225,225,,,"Painter RC Spawn Effect",,,,,,"Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionPainter spear",,"RoyalChampionPainter shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,65,7,-200,19,-50,"FALSE",20,100
"DarkAgesChampion","Warrior Princess","FALSE","FALSE","TID_DARKAGES_CHAMPION","image/skin_icons/rc_darkages_dl_opt.sctx","sc3d/royalchampion_darkages_geo_dl_opt.glb","sc3d/royalchampion_darkages_a_dl_opt.sctx","sc3d/royalchampion_darkages_n_dl_opt.sctx","sc3d/royalchampion_darkages_m_dl_opt.sctx",,,,"WarriorPrincessDarkAgesSkin",,10000,225,225,,,"Dark Ages Champion Deploy",,,,,,"Royal Champion Die","Dark Ages Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionDarkAges spear",,"RoyalChampionDarkAges shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",,,,0,"0;1450;3800","0;1200;0",30,55,7,-200,15,275,"FALSE",20,100
"GhostChampion","Warrior Princess","FALSE","FALSE","TID_GHOST_CHAMPION","image/skin_icons/rc_ghost_dl_opt.sctx","sc3d/royalchampion_ghost_geo_dl_opt.glb","sc3d/royalchampion_ghost_a_dl_opt.sctx","sc3d/royalchampion_ghost_n_dl_opt.sctx","sc3d/royalchampion_ghost_m_dl_opt.sctx","sc3d/royalchampion_ghost_e_dl_opt.sctx",,,"WarriorPrincessGhostSkin",,10000,225,225,,,"RoyalChampion_Ghost_Deploy_SFX",,,,,"RoyalChampion_Ghost_Hit","Royal Champion Die","Champion Ability Effect",,,,,,,"L_weapon_01_s","hips_s","RoyalChampionGhost spear",,"RoyalChampionGhost shield",,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","220;1300;0",30,48,9,-200,15,200,"FALSE",20,100
"WarriorKing","Barbarian King","FALSE","FALSE","TID_WARRIOR_KING","image/skin_icons/bk_cny_dl_opt.sctx","sc3d/barbking_cny_geo_dl_opt.glb","sc3d/barbking_cny_01_dl_opt.sctx","sc3d/barbking_cny_01_normal_dl_opt.sctx","sc3d/barbking_cny_01_material_dl_opt.sctx",,,,"BarbarianKingCNYSkin",,10000,225,225,,,"CNY King Deploy","Barbarian King Attack",,,,,"CNY King Die","CNY King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY","image/theme_icons/lunar_ny_icon_dl_opt.sctx","TID_SKIN_THEME_LNY",2021,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,40,15,-500,23,0,"FALSE",20,100
"RogueKing","Barbarian King","FALSE","FALSE","TID_ROGUE_KING","image/skin_icons/bk_rogue_dl_opt.sctx","sc3d/barbking_rogue_geo_dl_opt.glb","sc3d/barbking_rogue_01_dl_opt.sctx","sc3d/barbking_rogue_01_normal_dl_opt.sctx","sc3d/barbking_rogue_01_material_dl_opt.sctx",,,,"BarbarianKingRogueSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,35,15,-550,23,0,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/barbarian_king_deploy.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SavageKing","Barbarian King","FALSE","FALSE","TID_SAVAGE_KING","image/skin_icons/bk_savage_dl_opt.sctx","sc3d/barbking_savage_geo_dl_opt.glb","sc3d/barbking_savage_a_dl_opt.sctx","sc3d/barbking_savage_n_dl_opt.sctx","sc3d/barbking_savage_m_dl_opt.sctx",,,,"BarbarianKingSavageSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe","oni",100,"BASIC",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-500,23,0,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/barbarian_king_deploy.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JungleKing","Barbarian King","FALSE","FALSE","TID_JUNGLE_KING","image/skin_icons/bk_jungle_dl_opt.sctx","sc3d/barbking_jungle_geo_dl_opt.glb","sc3d/barbking_jungle_a_dl_opt.sctx","sc3d/barbking_jungle_n_dl_opt.sctx","sc3d/barbking_jungle_m_dl_opt.sctx",,,,"BarbarianKingJungleSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4500","0;1800;0",30,55,15,-500,23,0,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/barbarian_king_deploy.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AnniversaryKing","Barbarian King","FALSE","FALSE","TID_ANNIVERSARY_KING","image/skin_icons/bk_party2_dl_opt.sctx","sc3d/barbking_party2_geo_dl_opt.glb","sc3d/barbking_party2_a_dl_opt.sctx","sc3d/barbking_party2_n_dl_opt.sctx","sc3d/barbking_party2_m_dl_opt.sctx","sc3d/barbking_party2_e_dl_opt.sctx",,,"BarbarianKingAnniversarySkin",,10000,225,225,,,"Party King 2 Deploy","Party King 2 Attack",,,,,"Barbarian King Die","Party King 2 Ability Effect",,,,,"party_bk_purple",,"B_effect_jnt","hips_s",,,,"BarbarianParty","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY","image/theme_icons/party_icon_dl_opt.sctx","TID_SKIN_THEME_ANNIVERSARY",2021,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,16,-400,27,0,"FALSE",20,100
"GolemKing","Barbarian King","FALSE","FALSE","TID_GOLEM_KING","image/skin_icons/bk_golem_dl_opt.sctx","sc3d/barbking_golem_geo_dl_opt.glb","sc3d/barbking_golem_a_dl_opt.sctx","sc3d/barbking_golem_n_dl_opt.sctx","sc3d/barbking_golem_m_dl_opt.sctx","sc3d/barbking_golem_e_dl_opt.sctx",,,"BarbarianKingGolemSkin",,10000,225,225,,,"Golem King Deploy","Golem King Attack",,,,,"Golem King Die","Golem King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;5500","0;1800;0",30,45,15,-500,19,275,"FALSE",20,100
"IceKing","Barbarian King","FALSE","FALSE","TID_ICE_KING","image/skin_icons/bk_ice_dl_opt.sctx","sc3d/barbking_ice_geo_dl_opt.glb","sc3d/barbking_ice_a_dl_opt.sctx","sc3d/barbking_ice_n_dl_opt.sctx","sc3d/barbking_ice_m_dl_opt.sctx","sc3d/barbking_ice_e_dl_opt.sctx",,,"BarbarianKingIceSkin",,10000,225,225,,,"Ice_King_Deploy","Ice_King_Atk_Sfx",,,,,"Ice_King_Die","Ice_King_Ability_Effect",,,,"Ice King Spawn Effect",,,,"hips_s",,,,"BarbarianIce","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",,,,0,"0;1700;4300","0;1800;0",30,55,15,-500,27,0,"FALSE",20,100
"TigerKing","Barbarian King","FALSE","FALSE","TID_TIGER_KING","image/skin_icons/bk_tiger_dl_opt.sctx","sc3d/barbking_tiger_geo_dl_opt.glb","sc3d/barbking_tiger_a_dl_opt.sctx","sc3d/barbking_tiger_n_dl_opt.sctx","sc3d/barbking_tiger_m_dl_opt.sctx",,,,"BarbarianKingTigerSkin",,10000,225,225,,,"Tiger King Spawn Effect","Tiger King Attack",,,,"Tiger King hit","Barbarian King Die","Tiger King Ability Effect",,,,,,,,"hips_s",,,,"BarbarianTiger","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY","image/theme_icons/lunar_ny_icon_dl_opt.sctx","TID_SKIN_THEME_LNY",2022,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",,,,0,"0;1500;4200","0;2000;0",30,55,15,-500,19,-500,"FALSE",20,0
"ShadowKing","Barbarian King","FALSE","FALSE","TID_SHADOW_KING","image/skin_icons/bk_shadow_dl_opt.sctx","sc3d/barbking_shadow_geo_dl_opt.glb","sc3d/barbking_shadow_a_dl_opt.sctx","sc3d/barbking_shadow_n_dl_opt.sctx","sc3d/barbking_shadow_m_dl_opt.sctx",,,,"BarbarianKingShadowSkin",,10000,225,225,,,"Shadow King Deploy",,,,,"Shadow King Hit","Shadow King Die","Shadow King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1600;0",30,55,15,-500,27,150,"FALSE",20,100
"SummerKing","Barbarian King","FALSE","FALSE","TID_SUMMER_KING","image/skin_icons/bk_summer_dl_opt.sctx","sc3d/barbking_summer_geo_dl_opt.glb","sc3d/barbking_summer_a_dl_opt.sctx","sc3d/barbking_summer_n_dl_opt.sctx","sc3d/barbking_summer_m_dl_opt.sctx",,,,"BarbarianKingSummerSkin",,10000,225,225,,,"Summer King Spawn Effect",,,,,"Summer King Hit","Summer King Die","Summer King Ability Effect",,,,,,,,"hips_s",,,,"BarbarianSummer","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-500,21,0,"FALSE",20,100
"PixelKing","Barbarian King","FALSE","FALSE","TID_PIXEL_KING","image/skin_icons/bk_pixel_dl_opt.sctx","sc3d/barbking_pixel_geo_dl_opt.glb","sc3d/barbking_pixel_a_dl_opt.sctx",,"sc3d/barbking_pixel_m_dl_opt.sctx","sc3d/barbking_pixel_a_dl_opt.sctx",,,"BarbarianKingPixelSkin",,10000,225,225,,,"Pixel King Spawn Effect",,,,,"Pixel King Hit","Pixel King Die","Pixel King Ability Effect",,,,,,,,"hips_s",,,,"BarbarianPixel","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4800","0;1600;0",30,55,17,-550,18,250,"FALSE",20,100
"ClashFestKing","Barbarian King","FALSE","FALSE","TID_CLASHFEST_KING","image/skin_icons/bk_clashfest_dl_opt.sctx","sc3d/barbking_clashfest_geo_dl_opt.glb","sc3d/barbking_clashfest_a_dl_opt.sctx","sc3d/barbking_clashfest_n_dl_opt.sctx","sc3d/barbking_clashfest_m_dl_opt.sctx",,,,"BarbarianKingClashFestSkin",,10000,225,225,,,"Barbarian King Deploy",,,,,"Pixel King Hit","Barbarian King Die","Pixel King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"-800;1700;3800","-150;1800;0",30,50,16,-400,23,0,"FALSE",20,100
"RogueQueen","Archer Queen","FALSE","FALSE","TID_ROGUE_QUEEN","image/skin_icons/aq_rogue_dl_opt.sctx","sc3d/archerqueen_rogue_geo_dl_opt.glb","sc3d/archerqueen_rogue_01_dl_opt.sctx",,"sc3d/archerqueen_rogue_01_material_dl_opt.sctx",,,,"ArcherQueenRogueSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-100;1250;0",30,55,11,-200,17,200,"FALSE",20,100
